"Fecha","Negocio","Producto","Cantidad","Precio","Región","Tipo_Zona","Población","Temporada"
"08/09/2023","Corporacin Zayas, Rodríquez y Peres Express","Pintura","87","195.27","Guerrero","Urbano","Nueva Malawi","Alta"
"03/06/2023","Fonseca, Tello y Carvajal & Hijos","Cuadernos","49","136.51","Chihuahua","Urbano","San Espartaco los altos","Baja"
"07/03/2023","Alvarado-Magaña S.A. Express","Cuadernos","67","55.82","San Luis Potosí","Periurbano","Col. Diagonal Uganda","Alta"
"17/05/2024","Despacho Rosado-Porras Express","Cuadernos","73","71.8","Coahuila de Zaragoza","Urbano","Nueva Estonia","Baja"
"21/07/2022","Club Castañeda y Villareal SA","Cuadernos","78","235.78","Chihuahua","Periurbano","Col. Calzada Acosta","Alta"
"01/03/2024","Enríquez e Hijos SA","Arroz","70","302.7","Puebla","Rural","Rancho Adame","Baja"
"09/01/2025","Verdugo, Berríos y Menchaca Express","Cuadernos","34","149.95","Oaxaca","Periurbano","Col. Pasaje Querétaro","Baja"
"06/02/2025","Laboratorios Orozco y Téllez Express","Arroz","47","336.16","Oaxaca","Urbano","San Augusto los altos","Baja"
"06/07/2024","Jaime y Melgar S.A. de C.V. SA","Clavos","72","448.46","Oaxaca","Periurbano","Col. Continuación Vanuatu","Alta"
"13/01/2025","Patiño, Herrera y Llamas SA","Clavos","2","175.56","Yucatán","Urbano","Vieja Bélgica","Festiva"
"14/09/2023","Guardado S.C. SA","Arroz","52","362.62","Tlaxcala","Periurbano","Col. Calle Sur Montero","Festiva"
"31/05/2022","Despacho Oquendo-Vera Express","Cuadernos","15","71.58","Campeche","Periurbano","Col. Calle Norte Miranda","Alta"
"16/03/2023","Grupo Franco, Pineda y Naranjo Express","Cuadernos","38","220.4","Yucatán","Periurbano","Col. Retorno Norte Uribe","Baja"
"17/04/2023","Laboratorios Bustos, Puente y Berríos Express","Arroz","1","84.31","Hidalgo","Urbano","San Delia los bajos","Festiva"
"05/05/2024","Despacho Cabrera y Castellanos Express","Cuadernos","69","200.65","Chiapas","Urbano","Nueva Ghana","Alta"
"05/01/2025","Arreola y Asociados Express","Cuadernos","53","379.86","Colima","Urbano","Vieja Mali","Baja"
"03/04/2025","Galván y Chapa S. R.L. de C.V. Express","Juguetes","55","205.36","Distrito Federal","Urbano","San Abril de la Montaña","Festiva"
"15/12/2022","Corporacin Domínguez y Orta & Hijos","Pintura","100","110.25","Sonora","Urbano","San Yeni los altos","Festiva"
"15/02/2025","Villalpando-Peña SA","Arroz","6","311.59","Veracruz de Ignacio de la Llave","Rural","Rancho Gastélum","Festiva"
"05/11/2023","Bustos S.A. SA","Arroz","31","174.28","Yucatán","Urbano","San María Cristina los altos","Alta"
"02/06/2022","Aguirre, de Jesús y Perea Express","Leche","79","302.72","Oaxaca","Periurbano","Col. Viaducto Nayarit","Alta"
"05/01/2023","Industrias Merino, Aponte y Regalado Express","Juguetes","91","222.77","Guanajuato","Rural","Rancho Valles","Baja"
"22/08/2024","Mercado, Ponce y Puente & Hijos","Clavos","73","272.24","Baja California","Rural","Rancho Lira","Festiva"
"12/10/2024","González S. R.L. de C.V. SA","Cuadernos","80","130.55","Michoacán de Ocampo","Rural","Rancho Blanco","Alta"
"22/05/2022","Rivera y Asociados SA","Cuadernos","71","330.14","Coahuila de Zaragoza","Urbano","Nueva Argentina","Alta"
"22/12/2024","Castillo, Sáenz y Toledo & Hijos","Cuadernos","53","162.6","Durango","Rural","Rancho Arreola","Alta"
"02/12/2022","Laboratorios de la Crúz, Arroyo y Nieves & Hijos","Cuadernos","82","396.24","Sinaloa","Periurbano","Col. Viaducto India","Festiva"
"14/11/2023","Club Tamez-Gurule & Hijos","Juguetes","37","80.68","Quintana Roo","Periurbano","Col. Diagonal Tonga","Alta"
"19/01/2023","Despacho Robledo-Almonte Express","Leche","60","10.45","Yucatán","Rural","Rancho Loya","Baja"
"22/04/2024","Matos, Pulido y Carbajal SA","Leche","56","170.21","Querétaro","Rural","Rancho Granados","Baja"
"23/11/2022","Salas, Guevara y Torres Express","Juguetes","83","232.09","Querétaro","Urbano","San Fernando de la Montaña","Festiva"
"16/11/2023","Proyectos Olivo, Olivas y Concepción & Hijos","Cuadernos","24","450.77","Baja California Sur","Urbano","Vieja Jamaica","Festiva"
"17/03/2025","Club Marroquín y Flórez & Hijos","Juguetes","68","342.7","Nayarit","Rural","Rancho Salgado","Festiva"
"31/05/2023","Sánchez, Sarabia y Ávila Express","Cuadernos","34","159.25","Baja California","Urbano","Nueva Suiza","Alta"
"28/09/2024","Becerra S.A. de C.V. SA","Juguetes","41","182.67","Querétaro","Periurbano","Col. Calzada Manzanares","Festiva"
"23/12/2023","Laboratorios Merino y Saavedra Express","Juguetes","90","264.04","Morelos","Periurbano","Col. Eje vial Querétaro","Baja"
"06/05/2022","Chacón y Asociados & Hijos","Arroz","22","403.05","Chiapas","Rural","Rancho Alarcón","Alta"
"28/12/2022","de la Crúz, Carrasco y Cervántez SA","Arroz","19","175.01","Quintana Roo","Periurbano","Col. Prolongación Sur Tórrez","Baja"
"18/07/2024","Roldán, Perea y Toledo SA","Clavos","89","175.16","Chiapas","Periurbano","Col. Continuación Sur Garibay","Baja"
"24/03/2025","Ocasio, Rivero y Vera & Hijos","Pintura","87","293.03","Durango","Periurbano","Col. Retorno Sur Velásquez","Alta"
"10/06/2023","Club Negrete-Olmos Express","Cuadernos","72","54.54","Yucatán","Urbano","Nueva Sri Lanka","Alta"
"10/03/2025","Díaz, Almonte y de Jesús Express","Juguetes","17","367.25","Guerrero","Rural","Rancho Garica","Alta"
"17/04/2022","Soliz S.C. SA","Leche","94","249.1","Distrito Federal","Urbano","San Andrea de la Montaña","Baja"
"26/08/2023","Armenta, Ruiz y Muñiz SA","Clavos","55","212.55","Hidalgo","Urbano","San Georgina de la Montaña","Festiva"
"09/01/2023","Armendáriz, Pérez y Franco & Hijos","Clavos","23","179.29","Chihuahua","Rural","Rancho Arriaga","Alta"
"21/03/2025","Chacón, Feliciano y Ayala SA","Pintura","77","102.19","Baja California Sur","Rural","Rancho Ozuna","Festiva"
"13/05/2024","Duarte-Olvera e Hijos SA","Cuadernos","10","229.82","Baja California","Rural","Rancho Sanabria","Baja"
"02/01/2024","Olivas y de León S. R.L. de C.V. SA","Pintura","73","358.97","Morelos","Urbano","San Abel de la Montaña","Baja"
"14/03/2024","Montañez-Rincón y Asociados Express","Pintura","3","14.45","Chiapas","Rural","Rancho Salcido","Baja"
"11/07/2023","Miramontes-de Anda e Hijos Express","Juguetes","20","389.56","Durango","Periurbano","Col. Avenida Sur Cazares","Festiva"
"03/07/2024","Proyectos Magaña-Tirado & Hijos","Leche","15","278.43","Tabasco","Urbano","Nueva Côte d'Ivoire","Alta"
"10/07/2024","Ocampo S.A. de C.V. & Hijos","Leche","25","114.06","Guanajuato","Rural","Rancho Armenta","Festiva"
"08/05/2023","Cano-Téllez S. R.L. de C.V. Express","Cuadernos","92","449.96","Puebla","Urbano","San Armando los altos","Festiva"
"11/03/2025","Laboratorios Barela y Orta SA","Pintura","32","240.22","Jalisco","Periurbano","Col. Periférico Turquía","Festiva"
"18/08/2022","Galván, Alonso y Meza & Hijos","Leche","48","186.2","Zacatecas","Rural","Rancho Gaitán","Festiva"
"26/09/2024","Treviño S.C. SA","Clavos","68","68.96","Coahuila de Zaragoza","Urbano","Nueva Zimbabwe","Baja"
"21/07/2024","Roybal-Trejo SA","Arroz","21","293","Durango","Periurbano","Col. Avenida Norte Carrero","Alta"
"14/10/2023","Sarabia-Morales S.A. de C.V. & Hijos","Juguetes","36","383.73","Chihuahua","Periurbano","Col. Privada Olmos","Alta"
"28/07/2022","Maestas, Escobar y Rodríguez SA","Arroz","97","125.67","Chihuahua","Urbano","San Graciela los bajos","Festiva"
"28/11/2023","Guzmán y Cuellar y Asociados Express","Cuadernos","22","345.19","Querétaro","Periurbano","Col. Diagonal Norte Alonso","Baja"
"12/08/2024","Rocha A.C. Express","Leche","59","494.31","Durango","Rural","Rancho Rodríquez","Baja"
"07/09/2023","Industrias de la Crúz, Negrete y Muro Express","Leche","63","118.2","Aguascalientes","Urbano","Vieja Líbano","Festiva"
"03/09/2024","Club Jaime, Maya y Mateo SA","Pintura","54","78.58","Guerrero","Periurbano","Col. Eje vial Baja California Sur","Baja"
"15/09/2023","Blanco-Chacón S. R.L. de C.V. & Hijos","Cuadernos","16","210.35","Oaxaca","Periurbano","Col. Ampliación Emiratos Árabes Unidos","Alta"
"04/05/2022","González, Carmona y Fernández SA","Arroz","12","68.21","Durango","Rural","Rancho Cintrón","Alta"
"27/06/2024","Vera S.A. de C.V. Express","Arroz","56","187.72","Oaxaca","Urbano","San Abel de la Montaña","Baja"
"06/03/2025","Cuellar y Lucio S. R.L. de C.V. SA","Pintura","24","195.88","Michoacán de Ocampo","Urbano","Nueva Kiribati","Festiva"
"11/04/2023","Adame A.C. & Hijos","Cuadernos","14","309.52","Campeche","Rural","Rancho Sáenz","Alta"
"05/01/2025","Despacho Olivo y Tafoya & Hijos","Leche","25","464.89","Guanajuato","Periurbano","Col. Continuación Alemania","Festiva"
"02/01/2023","Despacho de la Fuente, Robles y de León SA","Pintura","68","22.67","Yucatán","Periurbano","Col. Avenida Norte Peña","Baja"
"17/08/2022","Rosado S. R.L. de C.V. & Hijos","Leche","72","484.49","Oaxaca","Periurbano","Col. Prolongación Campeche","Baja"
"19/03/2023","Despacho Sierra, Serrato y Alemán SA","Pintura","99","486.59","Nuevo León","Rural","Rancho Segovia","Festiva"
"09/05/2024","Arteaga-Velásquez S.A. Express","Arroz","9","157.2","San Luis Potosí","Rural","Rancho Espino","Alta"
"04/11/2022","Proyectos Lara y Casillas SA","Pintura","12","69.48","Zacatecas","Urbano","Vieja Liechtenstein","Festiva"
"18/12/2024","Club Malave-Carrasco SA","Juguetes","51","347.82","San Luis Potosí","Periurbano","Col. Privada Sur Gamboa","Festiva"
"29/11/2024","Rubio, Madera y Sotelo Express","Clavos","1","233.31","Puebla","Rural","Rancho Arevalo","Baja"
"03/05/2023","Amaya S. R.L. de C.V. SA","Arroz","78","138.74","Guerrero","Urbano","San José Carlos de la Montaña","Baja"
"25/11/2024","Grupo Sanabria, Valles y Alarcón SA","Juguetes","53","242.26","Durango","Urbano","Nueva Malasia","Alta"
"07/03/2023","Pizarro-Arevalo S.C. SA","Cuadernos","81","312.26","Guanajuato","Rural","Rancho Colón","Baja"
"29/07/2023","Zaragoza A.C. Express","Cuadernos","3","424.8","Querétaro","Rural","Rancho Núñez","Alta"
"06/12/2024","Canales y Asociados SA","Leche","36","111.12","Coahuila de Zaragoza","Rural","Rancho Zepeda","Alta"
"02/05/2022","Proyectos Laureano y Rojo SA","Clavos","80","202.12","San Luis Potosí","Periurbano","Col. Avenida Bahamas","Alta"
"23/09/2023","Acevedo-Escobedo S.C. SA","Pintura","9","384.76","Guerrero","Urbano","Vieja Nueva Zelandia","Festiva"
"09/01/2023","Laboratorios Perales y Puga & Hijos","Pintura","36","142.11","Chiapas","Rural","Rancho Olivares","Baja"
"03/01/2023","Mesa-Valdez A.C. & Hijos","Pintura","39","354.19","Querétaro","Urbano","Vieja Portugal","Baja"
"01/08/2024","Industrias Merino-Valles Express","Pintura","63","44.41","Colima","Urbano","San Bernabé los altos","Baja"
"04/01/2024","Espino, Melgar y Cornejo SA","Arroz","83","20.48","Nayarit","Periurbano","Col. Peatonal Sur Lucero","Festiva"
"05/05/2024","Razo S.A. de C.V. Express","Clavos","91","479.58","Baja California","Rural","Rancho Munguía","Festiva"
"22/06/2024","Grupo Caballero-Guardado SA","Arroz","47","495.5","Quintana Roo","Urbano","San Adela los altos","Alta"
"21/01/2024","Viera-Roybal & Hijos","Leche","36","497.2","Puebla","Urbano","Vieja Singapur","Baja"
"30/01/2023","Burgos, Arellano y Huerta Express","Juguetes","23","28.69","Guerrero","Urbano","Vieja Brunei Darussalam","Alta"
"11/07/2022","Badillo-Espinoza & Hijos","Arroz","90","176.51","Tamaulipas","Periurbano","Col. Circunvalación Chiapas","Alta"
"21/10/2024","Despacho Carrillo-Abrego SA","Arroz","51","128.92","Aguascalientes","Rural","Rancho Alfaro","Baja"
"28/06/2023","Rodríquez e Hijos Express","Juguetes","81","186.82","Hidalgo","Urbano","San Camilo los bajos","Alta"
"02/09/2024","Ulibarri-Arias y Asociados & Hijos","Arroz","11","90.53","Aguascalientes","Periurbano","Col. Periférico Tamez","Festiva"
"20/04/2023","Apodaca A.C. SA","Juguetes","69","426.89","Colima","Rural","Rancho Aragón","Baja"
"06/07/2022","Rivero y Cardenas S.A. de C.V. SA","Leche","9","199.3","Campeche","Periurbano","Col. Privada Mozambique","Baja"
"06/02/2024","Despacho Botello, Mejía y Castro Express","Leche","46","173.72","Yucatán","Urbano","Nueva Perú","Alta"
"23/08/2024","Escamilla, Cordero y de la Rosa Express","Pintura","43","11.15","Baja California","Rural","Rancho Dueñas","Baja"
"30/06/2022","Madrid, Ramos y Peres & Hijos","Leche","10","155.53","Nuevo León","Urbano","Nueva Dinamarca","Baja"
"16/12/2022","Apodaca-Blanco e Hijos SA","Juguetes","37","333.39","Oaxaca","Periurbano","Col. Avenida Qatar","Baja"
"11/03/2024","Despacho Ayala y Ureña Express","Pintura","63","419.19","Campeche","Periurbano","Col. Circunvalación Norte Barrios","Festiva"
"16/04/2022","Club Zayas y Padilla Express","Leche","51","421.29","Nuevo León","Periurbano","Col. Eje vial Sur Leiva","Festiva"
"20/09/2024","Padrón, Mora y Marín & Hijos","Cuadernos","88","332.48","Querétaro","Urbano","San Ilse de la Montaña","Baja"
"10/11/2023","Rascón-Santacruz Express","Leche","88","499.13","Michoacán de Ocampo","Periurbano","Col. Continuación Sur Vázquez","Baja"
"22/04/2023","Club Heredia, Pizarro y Nieto & Hijos","Arroz","51","68.96","Chiapas","Periurbano","Col. Ampliación Camerún","Festiva"
"20/02/2023","Grupo Velásquez, Ureña y Ibarra Express","Arroz","87","71.24","Yucatán","Urbano","San Alejandra los altos","Baja"
"31/01/2025","Sotelo y Zúñiga S. R.L. de C.V. & Hijos","Arroz","97","135.22","Nuevo León","Rural","Rancho Cruz","Festiva"
"04/09/2023","Solís y Laboy S. R.L. de C.V. & Hijos","Cuadernos","8","428.33","Aguascalientes","Urbano","Nueva Mauritania","Festiva"
"27/09/2024","Jiménez, Sandoval y Jiménez SA","Juguetes","25","86.87","Chiapas","Rural","Rancho Dueñas","Baja"
"24/07/2022","Cano S.A. SA","Pintura","61","86.42","Nayarit","Urbano","Nueva India","Alta"
"22/10/2024","Laboratorios Zapata, Rosas y Altamirano SA","Arroz","63","327.73","Michoacán de Ocampo","Rural","Rancho Villegas","Baja"
"30/03/2024","Proyectos Negrón-Paz & Hijos","Clavos","96","454.18","San Luis Potosí","Periurbano","Col. Cerrada Sierra Leona","Festiva"
"13/06/2023","Frías y Olvera y Asociados SA","Arroz","68","360.98","Nuevo León","Periurbano","Col. Retorno Michoacán de Ocampo","Alta"
"04/02/2023","Grupo Gonzales-Archuleta SA","Juguetes","48","110.91","Hidalgo","Rural","Rancho Arteaga","Festiva"
"15/04/2022","Reséndez, Tovar y Sanches Express","Arroz","80","466.34","Nuevo León","Periurbano","Col. Prolongación Sánchez","Festiva"
